order_id,order_date,sku_id,sku_name,category,qty_ordered,before_discount,discount,after_discount
20000,16-04-2021,5000,Wireless Earbuds,Electronics,7,19276.04,2449.76,16826.28
20001,12-08-2021,5000,Wireless Earbuds,Electronics,5,4911.15,301.28,4609.87
20002,03-04-2021,5000,Wireless Earbuds,Electronics,5,9547.05,2112.59,7434.46
20003,15-12-2021,5000,Wireless Earbuds,Electronics,5,10950.05,403.36,10546.69
20004,14-09-2021,5000,Wireless Earbuds,Electronics,3,8059.26,442.91,7616.35
20005,14-08-2021,5000,Wireless Earbuds,Electronics,1,3372.76,127.67,3245.09
20006,19-09-2021,5000,Wireless Earbuds,Electronics,6,7736.46,777.83,6958.63
20007,19-08-2021,5000,Wireless Earbuds,Electronics,8,3042.88,126.36,2916.52
20008,16-05-2021,5000,Wireless Earbuds,Electronics,2,706.48,128.12,578.36
20009,19-11-2021,5000,Wireless Earbuds,Electronics,8,8827.2,959.8,7867.4
20010,12-11-2021,5000,Wireless Earbuds,Electronics,1,3301.17,335.92,2965.25
20011,04-10-2021,5000,Wireless Earbuds,Electronics,8,2780,546.81,2233.19
20012,24-03-2021,5000,Wireless Earbuds,Electronics,4,5931.84,1369.47,4562.37
20013,03-08-2021,5000,Wireless Earbuds,Electronics,3,4964.34,726.64,4237.7
20014,27-03-2021,5000,Wireless Earbuds,Electronics,7,21310.45,1790.86,19519.59
20015,12-07-2021,5000,Wireless Earbuds,Electronics,7,23508.8,1286.21,22222.59
20016,05-03-2021,5000,Wireless Earbuds,Electronics,4,9424.12,214.63,9209.49
20017,09-03-2022,5000,Wireless Earbuds,Electronics,5,818.55,95.24,723.31
20018,20-06-2022,5000,Wireless Earbuds,Electronics,6,20057.28,3586.51,16470.77
20019,20-09-2022,5000,Wireless Earbuds,Electronics,1,1679.76,370.09,1309.67
20020,26-11-2022,5000,Wireless Earbuds,Electronics,7,10384.71,1149.04,9235.67
20021,21-08-2022,5000,Wireless Earbuds,Electronics,7,2509.71,89.07,2420.64
20022,15-04-2022,5000,Wireless Earbuds,Electronics,3,1554.78,245.92,1308.86
20023,01-02-2022,5000,Wireless Earbuds,Electronics,3,5843.01,1392.15,4450.86
20024,01-10-2022,5000,Wireless Earbuds,Electronics,2,6158.02,992.89,5165.13
20025,21-03-2022,5000,Wireless Earbuds,Electronics,5,16754.1,2655.93,14098.17
20026,04-08-2022,5000,Wireless Earbuds,Electronics,2,5987.88,1487.47,4500.41
20027,16-08-2022,5000,Wireless Earbuds,Electronics,8,9557.68,507.96,9049.72
20028,11-12-2022,5000,Wireless Earbuds,Electronics,5,8766.9,1570.79,7196.11
20029,01-09-2022,5000,Wireless Earbuds,Electronics,4,13343.2,1888.05,11455.15
20030,23-03-2022,5000,Wireless Earbuds,Electronics,1,2689.78,238.21,2451.57
20031,28-11-2022,5000,Wireless Earbuds,Electronics,2,4964.52,397.44,4567.08
20032,06-06-2022,5000,Wireless Earbuds,Electronics,6,16415.94,2339.21,14076.73
20033,11-09-2022,5000,Wireless Earbuds,Electronics,4,8817.24,1775.19,7042.05
20034,26-04-2022,5000,Wireless Earbuds,Electronics,4,11565.68,2199.45,9366.23
20035,07-04-2022,5000,Wireless Earbuds,Electronics,8,10729.04,286.09,10442.95
20036,26-01-2022,5000,Wireless Earbuds,Electronics,5,8660,558.9,8101.1
20037,12-10-2022,5000,Wireless Earbuds,Electronics,8,22869.6,4261.05,18608.55
20038,12-06-2022,5000,Wireless Earbuds,Electronics,2,1777.1,128.26,1648.84
20039,11-04-2022,5000,Wireless Earbuds,Electronics,4,7067.56,1742.91,5324.65
